Face,N_Face,Suit,Value,Cvalue
A,14,H,11,-1
K,10,H,10,-1
Q,10,H,10,-1
J,10,H,10,-1
T,10,H,10,-1
9,9,H,9,0
8,8,H,8,0
7,7,H,7,0
6,6,H,6,1
5,5,H,5,1
4,4,H,4,1
3,3,H,3,1
2,2,H,2,1
A,14,D,11,-1
K,10,D,10,-1
Q,10,D,10,-1
J,10,D,10,-1
T,10,D,10,-1
9,9,D,9,0
8,8,D,8,0
7,7,D,7,0
6,6,D,6,1
5,5,D,5,1
4,4,D,4,1
3,3,D,3,1
2,2,D,2,1
A,14,C,11,-1
K,10,C,10,-1
Q,10,C,10,-1
J,10,C,10,-1
T,10,C,10,-1
9,9,C,9,0
8,8,C,8,0
7,7,C,7,0
6,6,C,6,1
5,5,C,5,1
4,4,C,4,1
3,3,C,3,1
2,2,C,2,1
A,14,S,11,-1
K,10,S,10,-1
Q,10,S,10,-1
J,10,S,10,-1
T,10,S,10,-1
9,9,S,9,0
8,8,S,8,0
7,7,S,7,0
6,6,S,6,1
5,5,S,5,1
4,4,S,4,1
3,3,S,3,1
2,2,S,2,1
