Pair,D_C,Action
2,2,P
3,2,P
4,2,H
5,2,Dh
6,2,P
7,2,P
8,2,P
9,2,P
10,2,S
A,2,P
2,3,P
3,3,P
4,3,H
5,3,Dh
6,3,P
7,3,P
8,3,P
9,3,P
10,3,S
A,3,P
2,4,P
3,4,P
4,4,H
5,4,Dh
6,4,P
7,4,P
8,4,P
9,4,P
10,4,S
A,4,P
2,5,P
3,5,P
4,5,P
5,5,Dh
6,5,P
7,5,P
8,5,P
9,5,P
10,5,S
A,5,P
2,6,P
3,6,P
4,6,P
5,6,Dh
6,6,P
7,6,P
8,6,P
9,6,P
10,6,S
A,6,P
2,7,P
3,7,P
4,7,H
5,7,Dh
6,7,H
7,7,P
8,7,P
9,7,S
10,7,S
A,7,P
2,8,H
3,8,H
4,8,H
5,8,Dh
6,8,H
7,8,H
8,8,P
9,8,P
10,8,S
A,8,P
2,9,H
3,9,H
4,9,H
5,9,Dh
6,9,H
7,9,H
8,9,P
9,9,P
10,9,S
A,9,P
2,10,H
3,10,H
4,10,H
5,10,H
6,10,H
7,10,H
8,10,P
9,10,S
10,10,S
A,10,P
2,14,H
3,14,H
4,14,H
5,14,H
6,14,H
7,14,H
8,14,P
9,14,S
10,14,S
A,14,P
